location,type,long,lat
FKNMS1,Sanctuary,-80.35817,25.32897
FKNMS1,Sanctuary,-80.35811,25.32894
FKNMS1,Sanctuary,-80.3581,25.3289
FKNMS1,Sanctuary,-80.35813,25.32886
FKNMS1,Sanctuary,-80.35827,25.32884
FKNMS1,Sanctuary,-80.35846,25.32882
FKNMS1,Sanctuary,-80.3585,25.3288
FKNMS1,Sanctuary,-80.35852,25.32873
FKNMS1,Sanctuary,-80.35844,25.32852
FKNMS1,Sanctuary,-80.35839,25.32848
FKNMS1,Sanctuary,-80.35833,25.32847
FKNMS1,Sanctuary,-80.35827,25.32841
FKNMS1,Sanctuary,-80.35807,25.32836
FKNMS1,Sanctuary,-80.35803,25.32833
FKNMS1,Sanctuary,-80.35801,25.32822
FKNMS1,Sanctuary,-80.35797,25.32816
FKNMS1,Sanctuary,-80.35801,25.32807
FKNMS1,Sanctuary,-80.35798,25.32802
FKNMS1,Sanctuary,-80.35792,25.32796
FKNMS1,Sanctuary,-80.35792,25.32793
FKNMS1,Sanctuary,-80.35797,25.32785
FKNMS1,Sanctuary,-80.35795,25.32778
FKNMS1,Sanctuary,-80.35789,25.32773
FKNMS1,Sanctuary,-80.35784,25.3277
FKNMS1,Sanctuary,-80.35776,25.32772
FKNMS1,Sanctuary,-80.35772,25.32781
FKNMS1,Sanctuary,-80.35776,25.32788
FKNMS1,Sanctuary,-80.35776,25.32795
FKNMS1,Sanctuary,-80.35769,25.32807
FKNMS1,Sanctuary,-80.35759,25.32812
FKNMS1,Sanctuary,-80.3575,25.32812
FKNMS1,Sanctuary,-80.35736,25.3281
FKNMS1,Sanctuary,-80.35726,25.32812
FKNMS1,Sanctuary,-80.35717,25.32828
FKNMS1,Sanctuary,-80.35718,25.3283
FKNMS1,Sanctuary,-80.35725,25.32835
FKNMS1,Sanctuary,-80.35725,25.32839
FKNMS1,Sanctuary,-80.35723,25.32842
FKNMS1,Sanctuary,-80.35711,25.32841
FKNMS1,Sanctuary,-80.35704,25.32845
FKNMS1,Sanctuary,-80.35683,25.32859
FKNMS1,Sanctuary,-80.35668,25.32866
FKNMS1,Sanctuary,-80.35663,25.32872
FKNMS1,Sanctuary,-80.35662,25.32879
FKNMS1,Sanctuary,-80.35665,25.32893
FKNMS1,Sanctuary,-80.35655,25.32897
FKNMS1,Sanctuary,-80.35649,25.32911
FKNMS1,Sanctuary,-80.35643,25.32917
FKNMS1,Sanctuary,-80.35633,25.32918
FKNMS1,Sanctuary,-80.3562,25.32917
FKNMS1,Sanctuary,-80.3561,25.32921
FKNMS1,Sanctuary,-80.35597,25.32931
FKNMS1,Sanctuary,-80.35589,25.32934
FKNMS1,Sanctuary,-80.35579,25.32933
FKNMS1,Sanctuary,-80.35566,25.32925
FKNMS1,Sanctuary,-80.35559,25.32914
FKNMS1,Sanctuary,-80.35562,25.32905
FKNMS1,Sanctuary,-80.35563,25.32898
FKNMS1,Sanctuary,-80.3556,25.32897
FKNMS1,Sanctuary,-80.35556,25.329
FKNMS1,Sanctuary,-80.35546,25.32909
FKNMS1,Sanctuary,-80.35543,25.32911
FKNMS1,Sanctuary,-80.3554,25.32907
FKNMS1,Sanctuary,-80.35544,25.32894
FKNMS1,Sanctuary,-80.35543,25.32887
FKNMS1,Sanctuary,-80.35537,25.32884
FKNMS1,Sanctuary,-80.35531,25.32882
FKNMS1,Sanctuary,-80.3552,25.32886
FKNMS1,Sanctuary,-80.35511,25.32881
FKNMS1,Sanctuary,-80.35505,25.32883
FKNMS1,Sanctuary,-80.35494,25.32892
FKNMS1,Sanctuary,-80.35488,25.32896
FKNMS1,Sanctuary,-80.35478,25.32903
FKNMS1,Sanctuary,-80.35464,25.32898
FKNMS1,Sanctuary,-80.35457,25.32902
