Sample,A3-A3b-A3at-A3ax,A3-A3at-A3b-A3q-A3s,A3-A3s-A3q,A3,A3-A3b-A3av-A3au-A3aw,A4,B18b,B18c,B5,C3/C3.10,C1/C3-C42.2-C1dl-C3gl-C3gm-C3gk,C3-C1-C3.10,C3-C1dk-C15hx,C3-C3go-C6c-C3gq-C3gp-C3gn-C3dw,C16/C3-C16b,C3-C3hb-C3ge-C3hc-C1dk,C3-C3gr-C3gt-C3gs-C3.10,C3/C1,C3
SFK213,0,0,0,0,0,0,0,0,0,0,12385,0,0,0,0,0,0,0,0
SFK084,0,0,0,0,0,0,0,0,0,0,11216,0,0,0,0,0,0,0,0
SFK093,0,0,0,0,0,0,0,0,0,0,10385,0,0,0,0,0,0,0,0
SFK171,0,0,0,0,0,0,0,0,0,0,16872,0,0,0,0,0,0,0,0
SFK032,0,0,0,0,0,0,0,0,0,0,17748,0,0,0,0,0,0,0,0
SFK196,0,0,0,0,0,0,0,0,0,0,9598,0,0,0,0,0,0,0,0
SFK194,0,0,0,0,0,0,0,0,0,0,12261,0,0,0,0,0,0,0,0
SFK200,0,0,0,0,0,0,0,0,0,0,27535,0,0,0,0,0,0,0,0
SFK057,0,0,0,0,0,0,0,0,0,0,12358,0,0,0,0,0,0,0,0
SFK103,0,0,0,0,0,0,0,0,0,0,11060,0,0,0,0,0,0,0,0
SFK100,0,0,0,0,0,0,0,0,0,0,11126,0,0,0,0,0,0,0,0
SFK073,0,0,0,0,0,0,0,0,0,0,11236,0,0,0,0,0,0,0,0
SFK206,0,0,0,0,0,0,0,0,0,0,13245,0,0,0,0,0,0,0,0
SFK172,0,0,0,0,0,0,0,0,0,0,7587,0,0,0,0,0,0,0,0
SFK091,0,0,0,0,0,0,0,0,0,0,11429,0,0,0,0,0,0,0,0
SFK197,0,0,0,0,0,0,0,0,0,0,12904,0,0,0,0,0,0,0,0
SFK041,0,0,0,0,0,0,0,0,0,0,10661,0,0,0,0,0,0,0,0
SFK207,0,0,0,0,0,0,0,0,0,0,14091,0,0,0,0,0,0,0,0
SFK209,0,0,0,0,0,0,0,0,0,0,9907,0,0,0,0,0,0,0,0
SFK202,0,0,0,0,0,0,0,0,0,0,11925,0,0,0,0,0,0,0,0
SFK208,0,0,0,0,0,0,0,0,0,0,36448,0,0,0,0,0,0,0,0
SFK061,0,0,0,0,0,0,0,0,0,0,13942,0,0,0,0,0,0,0,0
SFK087,0,0,0,0,0,0,0,0,0,0,5374,0,0,0,0,0,0,0,0
SFK216,0,0,0,0,0,0,0,0,0,0,2876,0,0,0,0,0,0,0,0
SFK215,0,0,0,0,0,0,0,0,0,0,5639,0,0,0,0,0,0,0,0
SFK016,0,0,0,0,0,0,0,0,0,0,13121,0,0,0,0,0,0,0,0
SFK085,0,0,0,0,0,0,0,0,0,0,5786,0,0,0,0,0,0,0,0
SFK094,0,0,0,22,0,288,0,0,0,0,11210,0,0,0,0,0,0,0,0
SFK026,0,0,0,0,0,0,0,0,0,0,9703,0,0,0,0,0,0,0,0
SFK088,0,0,0,0,0,0,88,101,0,0,2445,0,0,0,0,0,0,0,0
SFK069,0,0,0,0,0,0,0,0,0,0,9204,0,0,0,0,0,0,0,0
SFK065,0,0,1505,0,0,0,0,0,0,0,9033,0,0,0,0,0,0,0,0
SFK043,0,1187,0,0,0,0,0,0,0,0,4703,0,0,0,0,0,0,0,0
SFK033,0,0,3866,0,0,0,0,0,0,0,12064,0,0,0,0,0,0,0,0
SFK004,0,0,7040,0,0,0,0,0,0,0,11941,0,0,0,0,0,0,0,0
SFK129,15585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK140,14016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK141,10889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK136,13755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK139,15076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK130,15708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK152,7928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK146,18575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK132,19930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK135,14359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK036,24720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK138,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK040,16531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK045,11551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK037,18823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK145,12110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK052,20614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK098,13576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK075,18608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK039,10200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK048,9184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK203,15499,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0
SFK046,13553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFK055,14095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0
SFK148,13092,0,0,0,0,0,0,0,0,0,0,0,955,0,0,0,0,0,0
SFK159,18289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334,0,0,0
SFK149,13751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839,0,0,0
SFK011,3864,0,0,0,0,0,0,0,0,0,0,722,0,0,0,0,0,0,0
SFK051,5447,0,0,0,0,0,0,0,0,0,0,0,837,0,0,0,0,0,0
SFK157,7711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1609,0,0,0
SFK142,15740,0,0,0,0,0,0,0,0,0,0,0,2924,0,0,0,0,0,0
SFK128,9893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2672,0,0,0
SFK063,0,0,0,0,0,0,0,0,0,0,0,10525,0,0,0,0,0,0,0
SFK121,0,0,0,0,0,0,0,0,0,0,0,2797,0,0,0,0,0,0,0
SFK092,0,0,0,0,0,0,0,0,0,0,0,9166,0,0,0,0,0,0,0
SFK168,0,0,0,0,0,0,0,0,0,0,0,28693,0,0,0,0,0,0,0
SFK117,0,0,0,0,0,0,0,0,0,0,0,3786,0,0,0,0,0,0,0
SFK116,0,0,0,0,0,0,0,0,0,0,0,12125,0,0,0,0,0,0,0
SFK199,0,0,0,0,0,0,0,0,0,0,0,15589,0,0,0,0,0,0,0
SFK120,0,0,0,0,0,0,0,0,0,0,0,2014,0,0,0,0,0,0,0
SFK058,0,0,0,0,0,0,0,0,0,0,0,12377,0,0,0,0,0,0,0
SFK007,0,0,0,0,0,0,0,0,0,0,0,9138,0,0,0,0,0,0,0
SFK124,0,0,0,0,0,0,0,0,0,0,0,3559,0,0,0,0,0,0,0
SFK118,0,0,0,0,0,0,0,0,0,0,0,3072,0,0,0,0,0,0,0
SFK123,0,0,0,0,0,0,0,0,0,0,0,3783,0,0,0,0,0,0,0
SFK104,0,0,0,0,0,0,0,0,0,0,0,10985,0,0,0,0,0,0,0
SFK182,0,0,0,0,0,0,0,0,0,0,0,8383,0,0,0,0,0,0,0
SFK002,0,0,0,327,0,0,0,0,0,0,0,14514,0,0,0,0,0,0,0
SFK184,0,0,0,0,0,0,0,0,0,0,0,5803,0,0,0,0,0,0,0
SFK220,0,0,0,0,0,0,0,0,0,0,0,1542,0,0,0,0,0,0,0
SFK101,0,0,796,0,0,0,0,0,0,0,0,12570,0,0,0,0,0,0,0
SFK018,0,0,0,0,0,0,0,0,0,0,0,11326,0,0,0,0,0,0,0
SFK122,0,0,0,0,0,0,0,0,0,0,0,2603,0,0,0,0,0,0,0
SFK019,0,0,0,0,0,0,0,0,0,0,0,3770,0,0,0,0,0,0,0
SFK003,0,0,0,0,0,0,0,0,0,0,0,5054,0,0,0,0,0,0,0
SFK059,0,0,0,278,0,0,0,0,0,0,0,1673,0,0,0,0,0,0,0
SFK109,0,0,2919,0,0,0,0,0,0,0,0,12957,0,0,0,0,0,0,0
SFK042,0,0,0,0,0,0,0,0,0,0,0,0,17705,0,0,0,0,0,0
SFK054,0,0,0,0,0,0,0,0,0,0,0,0,17803,0,0,0,0,0,0
SFK010,0,0,0,0,0,0,0,0,0,0,0,0,10727,0,0,0,0,0,0
SFK049,0,0,0,0,0,0,0,0,0,0,0,0,14867,0,0,0,0,0,0
SFK079,0,0,0,0,0,0,0,0,0,0,0,0,13865,0,0,0,0,0,0
SFK156,0,0,0,0,0,0,0,0,0,0,0,0,12118,0,0,0,0,0,0
SFK125,0,0,0,0,0,0,0,0,0,0,0,0,16206,0,0,0,0,0,0
SFK114,0,0,0,0,0,0,0,0,0,0,0,0,15672,0,0,0,0,0,0
SFK038,0,0,0,0,0,0,0,0,0,0,0,0,14008,0,0,0,0,0,0
SFK050,0,2510,0,0,0,0,0,0,0,0,0,0,12627,0,0,0,0,0,0
